Tk0_pop,0.00979,-0.000501,0.000613,0.000766,0.000472,0.00119,-0.00122,-5.91e-05,-4.02e-05,-0.000269,nan,-4.87e-06
V_pop,-0.000501,0.011,-0.00061,-0.000672,-0.000287,-0.00103,6.09e-05,-1.29e-05,8.28e-06,0.000229,nan,7.76e-07
k_pop,0.000613,-0.00061,0.00156,0.000612,0.000342,0.00198,-0.000128,-1.79e-05,1.7e-05,-0.000181,nan,5.52e-06
k12_pop,0.000766,-0.000672,0.000612,0.0104,-0.00997,0.0012,-8.48e-05,0.000407,0.000173,-0.000252,nan,-1.09e-05
beta_k12_SEX_M,0.000472,-0.000287,0.000342,-0.00997,0.0204,0.000724,-0.000323,-0.000936,-0.000421,-0.00165,nan,0.000106
k21_pop,0.00119,-0.00103,0.00198,0.0012,0.000724,0.00903,-0.000399,3.17e-05,0.000148,-0.000162,nan,-9.61e-06
omega_Tk0,-0.00122,6.09e-05,-0.000128,-8.48e-05,-0.000323,-0.000399,0.00653,-7.15e-05,-8.94e-05,0.00029,nan,-8.83e-06
omega_V,-5.91e-05,-1.29e-05,-1.79e-05,0.000407,-0.000936,3.17e-05,-7.15e-05,0.00595,0.000293,9.91e-05,nan,-3.43e-05
omega_k,-4.02e-05,8.28e-06,1.7e-05,0.000173,-0.000421,0.000148,-8.94e-05,0.000293,0.000818,0.000172,nan,-3.39e-05
omega_k12,-0.000269,0.000229,-0.000181,-0.000252,-0.00165,-0.000162,0.00029,9.91e-05,0.000172,0.00449,nan,-9.6e-05
a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
b,-4.87e-06,7.76e-07,5.52e-06,-1.09e-05,0.000106,-9.61e-06,-8.83e-06,-3.43e-05,-3.39e-05,-9.6e-05,nan,6.47e-05
