Tk0_pop,0.0097,-0.000399,-0.000157,0.000598,0.000679,0.000701,0.00115,-0.0012,7.34e-06,-1.43e-05,-0.000329,nan,-1.67e-05
V_pop,-0.000399,0.0092,-0.00901,-0.000557,-0.00106,0.00074,-0.000905,3.39e-05,0.00014,-0.000226,2.71e-05,nan,4.5e-05
beta_V_SEX_M,-0.000157,-0.00901,0.0164,-5.43e-05,0.000881,-0.00215,-0.000141,5.35e-05,-3.64e-05,0.000367,0.000349,nan,-5.61e-05
k_pop,0.000598,-0.000557,-5.43e-05,0.00148,0.000397,0.000615,0.00207,-0.000118,-2.51e-05,4.63e-06,-0.000147,nan,-1.23e-05
k12_pop,0.000679,-0.00106,0.000881,0.000397,0.00964,-0.00905,0.000345,-0.000117,1.33e-05,0.000146,-0.000737,nan,4.81e-07
beta_k12_SEX_M,0.000701,0.00074,-0.00215,0.000615,-0.00905,0.0199,0.00157,-0.000369,-0.000111,-0.00034,-0.00158,nan,0.000102
k21_pop,0.00115,-0.000905,-0.000141,0.00207,0.000345,0.00157,0.00973,-0.000347,1.76e-05,0.000214,6.51e-05,nan,-7.22e-05
omega_Tk0,-0.0012,3.39e-05,5.35e-05,-0.000118,-0.000117,-0.000369,-0.000347,0.00624,-0.000104,-4.88e-05,0.000335,nan,-1.16e-05
omega_V,7.34e-06,0.00014,-3.64e-05,-2.51e-05,1.33e-05,-0.000111,1.76e-05,-0.000104,0.00233,9.98e-05,-1.48e-05,nan,-1.83e-05
omega_k,-1.43e-05,-0.000226,0.000367,4.63e-06,0.000146,-0.00034,0.000214,-4.88e-05,9.98e-05,0.000623,0.000146,nan,-2.95e-05
omega_k12,-0.000329,2.71e-05,0.000349,-0.000147,-0.000737,-0.00158,6.51e-05,0.000335,-1.48e-05,0.000146,0.00446,nan,-0.000127
a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
b,-1.67e-05,4.5e-05,-5.61e-05,-1.23e-05,4.81e-07,0.000102,-7.22e-05,-1.16e-05,-1.83e-05,-2.95e-05,-0.000127,nan,6.98e-05
