Tk0_pop,0.00978,0.00267,-0.000219,0.000409,7.46e-05,0.00211,-2.29e-05,0.000442,0.000689,-0.00102,-0.000106,-0.000114,-5.34e-05,-0.000262,1.63e-06
V_pop,0.00267,0.00797,-0.00715,-0.00127,0.00121,-0.00275,1.89e-05,0.00143,-0.000928,-3.1e-06,-0.00106,-4.4e-05,-3.41e-05,0.000106,3.63e-05
beta_V_SEX_M,-0.000219,-0.00715,0.0129,0.00106,-0.00191,0.0017,-3.06e-06,-0.00296,1.74e-05,-0.000121,0.00218,0.000165,0.00017,0.000116,-3.2e-05
k_pop,0.000409,-0.00127,0.00106,0.00258,-0.00219,0.00115,-9.87e-07,-0.00064,0.00209,0.000146,-0.00028,-7.13e-05,-7.11e-05,-0.000144,-1.53e-05
beta_k_SEX_M,7.46e-05,0.00121,-0.00191,-0.00219,0.00361,-0.000574,-4.53e-06,0.00145,-0.000705,-0.00012,5.51e-05,-1.78e-05,-8.38e-06,6.15e-05,1.73e-05
k12_pop,0.00211,-0.00275,0.0017,0.00115,-0.000574,0.262,-0.00391,0.0201,-0.00183,-0.00239,0.00717,0.000445,-0.000429,-0.00403,0.000187
beta_k12_WEIGHT,-2.29e-05,1.89e-05,-3.06e-06,-9.87e-07,-4.53e-06,-0.00391,5.99e-05,-0.000403,4.49e-05,3.64e-05,-0.00011,-7.08e-06,6.34e-06,5.69e-05,-3.18e-06
beta_k12_SEX_M,0.000442,0.00143,-0.00296,-0.00064,0.00145,0.0201,-0.000403,0.0162,-3.5e-05,-4.44e-05,-9.73e-05,-5.68e-05,-8.8e-05,-0.00131,6.58e-05
k21_pop,0.000689,-0.000928,1.74e-05,0.00209,-0.000705,-0.00183,4.49e-05,-3.5e-05,0.00794,0.00014,-0.000933,-0.000103,-6.85e-05,9.45e-06,-2.5e-05
omega_Tk0,-0.00102,-3.1e-06,-0.000121,0.000146,-0.00012,-0.00239,3.64e-05,-4.44e-05,0.00014,0.00625,0.00326,0.000789,-0.000121,-4.77e-05,-1.4e-05
corr_V_Tk0,-0.000106,-0.00106,0.00218,-0.00028,5.51e-05,0.00717,-0.00011,-9.73e-05,-0.000933,0.00326,0.0331,0.00207,7.64e-05,0.000399,4.36e-05
omega_V,-0.000114,-4.4e-05,0.000165,-7.13e-05,-1.78e-05,0.000445,-7.08e-06,-5.68e-05,-0.000103,0.000789,0.00207,0.00222,0.000117,-4.41e-06,-2.31e-05
omega_k,-5.34e-05,-3.41e-05,0.00017,-7.11e-05,-8.38e-06,-0.000429,6.34e-06,-8.8e-05,-6.85e-05,-0.000121,7.64e-05,0.000117,0.000557,2.42e-05,-2.06e-05
omega_k12,-0.000262,0.000106,0.000116,-0.000144,6.15e-05,-0.00403,5.69e-05,-0.00131,9.45e-06,-4.77e-05,0.000399,-4.41e-06,2.42e-05,0.00307,-5.4e-05
b,1.63e-06,3.63e-05,-3.2e-05,-1.53e-05,1.73e-05,0.000187,-3.18e-06,6.58e-05,-2.5e-05,-1.4e-05,4.36e-05,-2.31e-05,-2.06e-05,-5.4e-05,6.3e-05
