parameter,value,se_sa,rse_sa
Tk0_pop,0.87009093297065,0.0860999331909233,9.89550975976296
V_pop,0.856755009966503,0.0900581082591783,10.5115356445595
k_pop,0.296428274689899,0.0117056112260085,3.9488848485368
k12_pop,0.15402200834949,0.0157400972942105,10.2193819330643
beta_k12_SEX_M,-0.591948988126829,0.142815992797314,24.1264020484675
k21_pop,0.0884315748642598,0.00840479548995597,9.50429244628643
omega_Tk0,0.391290953671768,0.0808304444272226,20.657376223174
omega_V,0.455942924470966,0.0771529843078702,16.9216321094118
omega_k,0.125261132163533,0.0286075155623398,22.8383019283202
omega_k12,0.246592877427945,0.0670237307552138,27.1799134891065
a,2.22044604925031e-16,nan,nan
b,0.162989873669241,0.00804645729600927,4.9367835650564
