Tk0_pop,0.00929,-0.000443,0.000522,0.00131,0.00112,-0.000998,-0.000128,-9.3e-05,-0.000824,0.00052,nan,1.93e-06
V_pop,-0.000443,0.01,-0.000583,-0.00117,-0.00108,-4.26e-05,7.73e-05,6.88e-05,0.000746,-0.000517,nan,3.99e-06
k_pop,0.000522,-0.000583,0.00152,0.00121,0.00183,1.6e-07,-0.00014,-0.000139,-0.000996,0.00032,nan,1.41e-05
k12_pop,0.00131,-0.00117,0.00121,0.00968,0.00477,-0.000226,-0.000396,-0.000321,-0.0041,0.00534,nan,3.24e-05
k21_pop,0.00112,-0.00108,0.00183,0.00477,0.02,-9.37e-05,-0.000449,-0.000706,-0.00497,0.00464,nan,3.71e-05
omega_Tk0,-0.000998,-4.26e-05,1.6e-07,-0.000226,-9.37e-05,0.00638,-0.000133,-0.000174,0.000188,-0.000354,nan,1.64e-05
omega_V,-0.000128,7.73e-05,-0.00014,-0.000396,-0.000449,-0.000133,0.00505,0.000309,0.000696,-0.000155,nan,-4.61e-05
omega_k,-9.3e-05,6.88e-05,-0.000139,-0.000321,-0.000706,-0.000174,0.000309,0.00103,0.00062,-0.000105,nan,-5.35e-05
omega_k12,-0.000824,0.000746,-0.000996,-0.0041,-0.00497,0.000188,0.000696,0.00062,0.00826,-0.00531,nan,-9.32e-05
omega_k21,0.00052,-0.000517,0.00032,0.00534,0.00464,-0.000354,-0.000155,-0.000105,-0.00531,0.0187,nan,-7.77e-05
a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
b,1.93e-06,3.99e-06,1.41e-05,3.24e-05,3.71e-05,1.64e-05,-4.61e-05,-5.35e-05,-9.32e-05,-7.77e-05,nan,6.66e-05
