Tk0_pop,1,-0.0459,0.139,0.138,0.082,-0.13,-0.0186,-0.03,-0.0941,0.0395,nan,0.00246
V_pop,-0.0459,1,-0.149,-0.119,-0.0761,-0.00533,0.0109,0.0214,0.082,-0.0378,nan,0.00488
k_pop,0.139,-0.149,1,0.315,0.332,5.13e-05,-0.0504,-0.111,-0.281,0.0602,nan,0.0444
k12_pop,0.138,-0.119,0.315,1,0.343,-0.0287,-0.0566,-0.102,-0.458,0.398,nan,0.0404
k21_pop,0.082,-0.0761,0.332,0.343,1,-0.0083,-0.0447,-0.155,-0.387,0.24,nan,0.0321
omega_Tk0,-0.13,-0.00533,5.13e-05,-0.0287,-0.0083,1,-0.0234,-0.0677,0.026,-0.0324,nan,0.0252
omega_V,-0.0186,0.0109,-0.0504,-0.0566,-0.0447,-0.0234,1,0.135,0.108,-0.016,nan,-0.0794
omega_k,-0.03,0.0214,-0.111,-0.102,-0.155,-0.0677,0.135,1,0.212,-0.0239,nan,-0.204
omega_k12,-0.0941,0.082,-0.281,-0.458,-0.387,0.026,0.108,0.212,1,-0.427,nan,-0.126
omega_k21,0.0395,-0.0378,0.0602,0.398,0.24,-0.0324,-0.016,-0.0239,-0.427,1,nan,-0.0697
a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
b,0.00246,0.00488,0.0444,0.0404,0.0321,0.0252,-0.0794,-0.204,-0.126,-0.0697,nan,1
