Tk0_pop,0.00895,-0.000439,0.000493,0.0011,0.000858,-0.00101,-8.88e-05,-7.8e-05,-0.000515,0.000178,nan,-3.65e-06
V_pop,-0.000439,0.0102,-0.000559,-0.00108,-0.000902,-8.73e-06,0.000157,0.000106,0.000547,-0.000327,nan,5.63e-06
k_pop,0.000493,-0.000559,0.00134,0.00106,0.00149,-2.94e-05,-0.000137,-0.000181,-0.000724,9.59e-05,nan,1.48e-05
k12_pop,0.0011,-0.00108,0.00106,0.00896,0.00367,-0.000118,-0.000419,-0.000358,-0.00276,0.00354,nan,4.13e-05
k21_pop,0.000858,-0.000902,0.00149,0.00367,0.0179,-8.35e-05,-0.000433,-0.000636,-0.00337,0.0037,nan,4.67e-05
omega_Tk0,-0.00101,-8.73e-06,-2.94e-05,-0.000118,-8.35e-05,0.0056,-0.000128,-0.000155,6.73e-05,-6.54e-05,nan,4.08e-06
omega_V,-8.88e-05,0.000157,-0.000137,-0.000419,-0.000433,-0.000128,0.00542,0.000322,0.000656,-0.000158,nan,-5.01e-05
omega_k,-7.8e-05,0.000106,-0.000181,-0.000358,-0.000636,-0.000155,0.000322,0.000928,0.000528,-7.2e-05,nan,-5.96e-05
omega_k12,-0.000515,0.000547,-0.000724,-0.00276,-0.00337,6.73e-05,0.000656,0.000528,0.00686,-0.00317,nan,-0.000101
omega_k21,0.000178,-0.000327,9.59e-05,0.00354,0.0037,-6.54e-05,-0.000158,-7.2e-05,-0.00317,0.0163,nan,-6.86e-05
a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
b,-3.65e-06,5.63e-06,1.48e-05,4.13e-05,4.67e-05,4.08e-06,-5.01e-05,-5.96e-05,-0.000101,-6.86e-05,nan,6.67e-05
