parameter,value,se_sa,rse_sa
Tk0_pop,0.88604330830383,0.0838094229977126,9.45884046663031
V_pop,0.845370444455406,0.0854095706471864,10.103212290821
k_pop,0.301571574537409,0.0110284059491981,3.65697793836004
k12_pop,0.121430769352761,0.0114973036271188,9.46819631334022
k21_pop,0.104780564702594,0.0140162999202848,13.3768127324644
omega_Tk0,0.377748012656943,0.0748655244675676,19.8189062441363
omega_V,0.437358005755552,0.0736298470520724,16.8351433112272
omega_k,0.116810627396801,0.0304582635218437,26.0749079091737
omega_k12,0.30743039736898,0.0828255884555639,26.9412488694656
omega_k21,0.446340015342276,0.127694224151151,28.6091812882224
a,2.22044604925031e-16,nan,nan
b,0.155719961943111,0.0081640091027825,5.24275051246485
